id,followers,following,message_out,message_in,membership,level,region,gold,silver,bronze,hm
491,35,12,188,181,silver,None,None,1,2,3,12
492,29,19,155,133,Free,"topaz horse",New York,1,2,5,3
493,7,1,4,23,Free,"emerald cat",None,0,0,0,0
494,140,230,114,284,silver,"topaz horse",,0,0,0,0
495,258,600,684,972,silver,"perfect palomino",Illinois,0,0,1,2
496,7,12,21,16,Free,"emerald cat",Florida,0,0,0,0
497,10,12,22,38,Free,"topaz horse",None,0,0,0,1
498,148,289,646,378,Free,"perfect palomino",Maryland,1,5,4,9
499,201,183,1752,907,Free,"topaz horse",,0,0,0,0
500,329,333,2180,1705,Free,"onyx dragon",None,13,22,17,107
501,149,1,555,1396,silver,"emerald cat",,0,0,0,0
502,128,156,1075,434,Free,"aventurine thought",Michigan,1,1,2,3
503,60,67,2285,1452,Free,"stunning sphinx",,4,7,10,35
504,184,116,761,1468,silver,"tigereye texture",Wisconsin,39,41,31,121
505,525,455,4329,5985,gold,"unkept fire",Mississippi,106,135,164,337
506,157,293,648,599,silver,"topaz horse",California,0,0,0,0
507,457,462,572,3603,gold,"citrine experience",Massachusetts,47,62,43,159
508,196,267,1276,810,gold,"emerald cat",,0,0,0,0
509,56,19,273,646,silver,None,Missouri,18,16,17,57
510,107,167,264,245,Free,"perfect palomino",,1,0,3,7
511,1678,2438,19183,41198,gold,"deep as an ocean",,785,975,1423,6041
512,179,178,376,920,Free,"moonstone path",,11,15,12,30
513,101,185,1641,572,Free,"diamond love",North Carolina,1,0,4,8
514,12,17,24,42,Free,"emerald cat",None,0,0,0,0
515,51,96,99,90,Free,"topaz horse",None,1,0,0,0
516,365,131,1844,2202,Free,"hyperbolic pebble",Minnesota,11,8,5,26
517,336,51,1113,8653,gold,"hyperbolic pebble",Texas,204,246,260,837
518,641,1509,5478,6811,Free,"screaming dragon",,37,52,66,373
519,190,105,1463,1529,gold,"pyrite eye",California,41,50,43,137
520,35,18,56,80,Free,"stunning sphinx",None,0,0,1,2
521,148,111,1862,905,Free,None,None,0,0,0,0
522,12,13,91,62,Free,"topaz horse",None,0,0,0,0
523,78,96,726,247,gold,"perfect palomino",,0,0,2,10
524,253,90,1827,3379,gold,"citrine experience",Florida,71,69,62,136
525,23,42,114,96,Free,"perfect palomino",Georgia,0,1,0,4
526,278,1047,574,518,Free,"stunning sphinx",None,0,0,0,1
